epoch,steps,train_loss,train_psnr,best_train_psnr,train_ssim,best_train_ssim,val_loss,val_psnr,best_val_psnr,val_ssim,best_val_ssim
48,625,0.0463780198991298,26.88,29.78,0.8098,0.8497,0.0362216383218765,28.62,28.85,0.83,0.8326
49,638,0.0420904195308685,27.38,29.78,0.8123,0.8497,0.0324015408754348,27.42,28.85,0.8262,0.8326
50,651,0.0374283997714519,27.67,29.78,0.791,0.8497,0.0299058809876441,28.74,28.85,0.8253,0.8326
51,664,0.0429288263618946,27.6,29.78,0.8382,0.8497,0.035112577676773,27.62,28.85,0.8204,0.8326
52,677,0.0377829794585704,28.47,29.78,0.8471,0.8497,0.031887912005186,29.4,29.4,0.8263,0.8326
53,690,0.0434426692128181,26.96,29.78,0.8177,0.8497,0.0704085201025009,21.36,29.4,0.8046,0.8326
54,703,0.0488449317216873,26.75,29.78,0.8223,0.8497,0.0348705809563398,28.14,29.4,0.8286,0.8326
55,716,0.0407196213304996,28.5,29.78,0.8092,0.8497,0.033118337392807,29.01,29.4,0.8287,0.8326
56,729,0.0410101646184921,27.23,29.78,0.7996,0.8497,0.0351671978831291,27.46,29.4,0.8229,0.8326
57,742,0.0322947050631046,29.64,29.78,0.8462,0.8497,0.0347696378827095,28.55,29.4,0.8022,0.8326
58,755,0.0344117042422294,29.35,29.78,0.8089,0.8497,0.031455834582448,28.62,29.4,0.7857,0.8326
59,768,0.0315764760971069,29.82,29.82,0.8418,0.8497,0.039036751165986,27.22,29.4,0.8223,0.8326
60,781,0.0407779466360807,27.03,29.82,0.7999,0.8497,0.0344924852252006,27.76,29.4,0.8325,0.8326
61,794,0.0336507706344127,29.25,29.82,0.8306,0.8497,0.0333441637456417,28.46,29.4,0.832,0.8326
62,807,0.0318494573235511,29.72,29.82,0.8414,0.8497,0.0283568523824214,29.02,29.4,0.8303,0.8326
63,820,0.0313260325789451,29.6,29.82,0.8463,0.8497,0.0363945569843053,27.43,29.4,0.8309,0.8326
64,833,0.0367630729079246,27.82,29.82,0.8146,0.8497,0.0420976273715496,26.57,29.4,0.8305,0.8326
65,846,0.0401021388173103,27.82,29.82,0.8389,0.8497,0.0262515529990196,29.28,29.4,0.8402,0.8402
66,859,0.029115365743637,30.19,30.19,0.856,0.856,0.0322922468185424,27.5,29.4,0.8377,0.8402
67,872,0.0315195178985595,30.3,30.3,0.8456,0.856,0.0334749054163694,28.71,29.4,0.8415,0.8415
68,885,0.0309253107756376,30.79,30.79,0.8494,0.856,0.0308726098388433,28.07,29.4,0.8432,0.8432
69,898,0.0286440913379192,31.14,31.14,0.8603,0.8603,0.02609648630023,29.27,29.4,0.8411,0.8432
70,911,0.0318464490771293,30.14,31.14,0.8642,0.8642,0.0368180453777313,29.14,29.4,0.8368,0.8432
71,924,0.0375515054166317,29.25,31.14,0.8382,0.8642,0.026736669242382,29.77,29.77,0.8413,0.8432
72,937,0.0349613815546035,29.98,31.14,0.838,0.8642,0.0310797926038503,29.36,29.77,0.8407,0.8432
73,950,0.0376957556605339,28.52,31.14,0.8144,0.8642,0.0353259101510047,27.6,29.77,0.8411,0.8432
74,963,0.0326559951156377,30.03,31.14,0.8435,0.8642,0.0298647016286849,29.02,29.77,0.8358,0.8432
75,976,0.0328581053018569,30.26,31.14,0.8522,0.8642,0.0344744652509689,28.49,29.77,0.8415,0.8432
76,989,0.0344605846703052,29.51,31.14,0.8252,0.8642,0.0287891279906034,29.73,29.77,0.8415,0.8432
77,1002,0.0334889098256826,29.26,31.14,0.8314,0.8642,0.0303112640976905,28.48,29.77,0.8333,0.8432
78,1015,0.0338450448215007,29.2,31.14,0.8178,0.8642,0.0260443963110446,29.56,29.77,0.8381,0.8432
79,1028,0.0310225936770439,29.98,31.14,0.8476,0.8642,0.0234598284587264,29.96,29.96,0.8423,0.8432
80,1041,0.0286620773375034,31.86,31.86,0.8975,0.8975,0.0282223414629697,29.28,29.96,0.8358,0.8432
81,1054,0.0375145158171653,28.37,31.86,0.8558,0.8975,0.0273273315280675,29.53,29.96,0.8382,0.8432
82,1067,0.0409865449368953,27.45,31.86,0.8249,0.8975,0.0361405923962593,26.76,29.96,0.8353,0.8432
83,1080,0.0376695665717124,28.67,31.86,0.8679,0.8975,0.0527123712003231,23.63,29.96,0.8342,0.8432
84,1093,0.0364139318466186,28.44,31.86,0.8447,0.8975,0.0352243557572364,26.75,29.96,0.8297,0.8432
85,1106,0.034923450499773,28.04,31.86,0.827,0.8975,0.0351095490157604,26.57,29.96,0.8252,0.8432
86,1119,0.0343444460630416,29.21,31.86,0.8436,0.8975,0.0340519152581691,27.64,29.96,0.8349,0.8432
87,1132,0.0343023499846458,28.94,31.86,0.8386,0.8975,0.0330673165619373,28.76,29.96,0.8286,0.8432
88,1145,0.0333910329639911,28.88,31.86,0.8488,0.8975,0.028011654689908,29.02,29.96,0.8399,0.8432
89,1158,0.0395377676188945,27.31,31.86,0.7911,0.8975,0.0268141690641641,29.64,29.96,0.8373,0.8432
90,1171,0.0354445724189281,28.61,31.86,0.8202,0.8975,0.0240359421819448,29.77,29.96,0.8386,0.8432
91,1184,0.0297309240698814,30.05,31.86,0.8499,0.8975,0.0315027121454477,29.07,29.96,0.8362,0.8432
92,1197,0.0312993662804365,30.33,31.86,0.85,0.8975,0.0308059930801391,28.12,29.96,0.84,0.8432
93,1210,0.034339273199439,28.22,31.86,0.8295,0.8975,0.0449360273778438,25.28,29.96,0.8295,0.8432
94,1223,0.0343713138997554,29.58,31.86,0.8363,0.8975,0.0332028307020664,28.05,29.96,0.841,0.8432
95,1236,0.0339400416612625,29.55,31.86,0.8673,0.8975,0.0299407739192247,28.58,29.96,0.8399,0.8432
96,1249,0.0376143935322761,28.02,31.86,0.8336,0.8975,0.0426504075527191,25.64,29.96,0.8346,0.8432
97,1262,0.0340654069185256,28.83,31.86,0.8345,0.8975,0.0299118470400571,28.66,29.96,0.8379,0.8432
98,1275,0.0374172561615705,28.5,31.86,0.8401,0.8975,0.0282623466104269,29.12,29.96,0.8364,0.8432
99,1288,0.0333978965878486,28.92,31.86,0.8224,0.8975,0.0261316929012537,29.35,29.96,0.8413,0.8432
100,1301,0.0328020034730434,28.94,31.86,0.8257,0.8975,0.0345902778208255,28.17,29.96,0.8412,0.8432
101,1314,0.0296767456084489,31.02,31.86,0.876,0.8975,0.0342294692993164,26.76,29.96,0.8384,0.8432
102,1327,0.0363336592912673,27.9,31.86,0.7983,0.8975,0.0263650819659233,29.0,29.96,0.8397,0.8432
103,1340,0.0305139224231243,30.19,31.86,0.8516,0.8975,0.0293787498027086,28.15,29.96,0.8338,0.8432
104,1353,0.0337741895020008,28.98,31.86,0.8356,0.8975,0.0282653078436851,28.79,29.96,0.8403,0.8432
105,1366,0.0302537931501865,29.94,31.86,0.8293,0.8975,0.0280079755932092,28.72,29.96,0.8388,0.8432
106,1379,0.0277304509282112,30.59,31.86,0.8569,0.8975,0.0273338060826063,29.5,29.96,0.8406,0.8432
107,1392,0.0350781697034835,28.81,31.86,0.8066,0.8975,0.028024710714817,29.55,29.96,0.8376,0.8432
108,1405,0.0286850719153881,30.98,31.86,0.8699,0.8975,0.0316452220082283,27.12,29.96,0.8398,0.8432
109,1418,0.0343959002196788,28.95,31.86,0.8637,0.8975,0.0459589257836341,25.6,29.96,0.8329,0.8432
110,1431,0.0376113639771938,28.53,31.86,0.8208,0.8975,0.0302811805158853,29.43,29.96,0.8367,0.8432
111,1444,0.0324547562748193,29.33,31.86,0.8398,0.8975,0.0291524242609739,28.2,29.96,0.8414,0.8432
112,1457,0.0335507079958915,28.82,31.86,0.8391,0.8975,0.0331154000014066,28.62,29.96,0.8386,0.8432
113,1470,0.0312369933724403,30.85,31.86,0.8536,0.8975,0.0339886583387851,28.52,29.96,0.8384,0.8432
114,1483,0.0266666411608457,31.67,31.86,0.8989,0.8989,0.0332014545798301,28.08,29.96,0.8432,0.8432
115,1496,0.0307965205609798,30.38,31.86,0.8612,0.8989,0.0332387048751115,27.07,29.96,0.8306,0.8432
116,1509,0.0326205246895551,29.13,31.86,0.8369,0.8989,0.0247066706418991,30.03,30.03,0.8436,0.8436
117,1522,0.0308664608001709,29.92,31.86,0.835,0.8989,0.0313427224755287,29.34,30.03,0.844,0.844
118,1535,0.0313962528854608,30.35,31.86,0.8363,0.8989,0.0235610343515872,30.12,30.12,0.8453,0.8453
119,1548,0.026291673630476,31.11,31.86,0.8575,0.8989,0.0232304664328694,30.19,30.19,0.8455,0.8455
120,1561,0.0270523670315742,30.8,31.86,0.8585,0.8989,0.0237536776810884,29.83,30.19,0.8425,0.8455
121,1574,0.0242610624432563,32.24,32.24,0.8793,0.8989,0.0237564109265804,29.55,30.19,0.8428,0.8455
122,1587,0.0254012283682823,31.5,32.24,0.8644,0.8989,0.0243835188448429,29.86,30.19,0.8448,0.8455
123,1600,0.0260571589320898,31.48,32.24,0.8654,0.8989,0.0233193587511777,29.91,30.19,0.8456,0.8456
124,1613,0.0255337841808795,31.39,32.24,0.8575,0.8989,0.0220066893845796,30.14,30.19,0.8455,0.8456
125,1626,0.0257196231931448,31.41,32.24,0.8519,0.8989,0.0230598906055092,30.2,30.2,0.8459,0.8459
126,1639,0.0252639535069465,31.82,32.24,0.862,0.8989,0.0225527135655283,29.94,30.2,0.8448,0.8459
127,1652,0.0259026357531547,30.73,32.24,0.856,0.8989,0.0257623586803674,29.4,30.2,0.845,0.8459
128,1665,0.0278870783746242,30.53,32.24,0.8382,0.8989,0.0216877814382314,30.16,30.2,0.8459,0.8459
129,1678,0.0250470983982086,31.78,32.24,0.8584,0.8989,0.0222051922231912,30.21,30.21,0.8458,0.8459
130,1691,0.0279030281305313,30.67,32.24,0.8336,0.8989,0.0216419467702507,30.09,30.21,0.8463,0.8463
131,1704,0.0201378139853477,33.83,33.83,0.8943,0.8989,0.0221495740115642,30.15,30.21,0.8463,0.8463
132,1717,0.0265988875180482,30.81,33.83,0.8631,0.8989,0.0242557572200894,29.55,30.21,0.8453,0.8463
133,1730,0.0266693175584077,31.1,33.83,0.8749,0.8989,0.0291588198393583,29.85,30.21,0.8461,0.8463
134,1743,0.0266861394792795,32.36,33.83,0.8747,0.8989,0.0253753166645765,29.59,30.21,0.8446,0.8463
135,1756,0.0264080375432968,31.26,33.83,0.8681,0.8989,0.023612211830914,29.77,30.21,0.8454,0.8463
136,1769,0.028102803081274,30.34,33.83,0.8435,0.8989,0.0276893638074398,29.13,30.21,0.8464,0.8464
137,1782,0.0271325259655714,30.48,33.83,0.8455,0.8989,0.0226226093247532,30.01,30.21,0.8459,0.8464
138,1795,0.0269105800241231,30.86,33.83,0.85,0.8989,0.0299496546387672,28.19,30.21,0.8445,0.8464
139,1808,0.0273502378165721,30.92,33.83,0.8641,0.8989,0.0224179929122328,30.19,30.21,0.8462,0.8464
140,1821,0.0292642039060592,29.88,33.83,0.8505,0.8989,0.0226025814190506,30.04,30.21,0.8446,0.8464
141,1834,0.0270826906710863,30.81,33.83,0.8636,0.8989,0.0214135514572262,30.19,30.21,0.8463,0.8464
142,1847,0.0258292958140373,31.43,33.83,0.8693,0.8989,0.0243394665420055,29.09,30.21,0.8467,0.8467
143,1860,0.0261013620346784,31.52,33.83,0.8649,0.8989,0.0246004674583673,29.2,30.21,0.846,0.8467
144,1873,0.0297776585817337,30.01,33.83,0.8363,0.8989,0.0248163487762212,29.7,30.21,0.8465,0.8467
145,1886,0.0279301349818706,31.41,33.83,0.8626,0.8989,0.0235190749168395,29.68,30.21,0.8458,0.8467
146,1899,0.0274033566564321,30.59,33.83,0.848,0.8989,0.0239495661109685,29.85,30.21,0.8464,0.8467
147,1912,0.0261960969865322,31.42,33.83,0.8669,0.8989,0.0250267267227172,29.29,30.21,0.8456,0.8467
148,1925,0.0247336270660161,31.92,33.83,0.8743,0.8989,0.0368049755692482,26.64,30.21,0.8448,0.8467
149,1938,0.0284057981520891,30.47,33.83,0.8556,0.8989,0.0297457136213779,27.95,30.21,0.8441,0.8467
150,1951,0.0266818203777074,30.95,33.83,0.8591,0.8989,0.0240160387009382,29.82,30.21,0.8457,0.8467
151,1964,0.0265072485059499,31.29,33.83,0.8642,0.8989,0.0279967881739139,28.93,30.21,0.8456,0.8467
152,1977,0.0246798948198556,32.07,33.83,0.8733,0.8989,0.0244415154680609,29.7,30.21,0.8451,0.8467
153,1990,0.0256886269152164,31.41,33.83,0.8716,0.8989,0.0227699723094701,29.93,30.21,0.8455,0.8467
154,2003,0.029709151610732,29.95,33.83,0.8251,0.8989,0.0222108457237482,30.14,30.21,0.8459,0.8467
155,2016,0.0253144609928131,31.92,33.83,0.8749,0.8989,0.024693439900875,29.66,30.21,0.8459,0.8467
156,2029,0.0288779690861701,30.51,33.83,0.8477,0.8989,0.0220519619062542,30.0,30.21,0.8463,0.8467
157,2042,0.0316742391884326,29.41,33.83,0.8133,0.8989,0.0266435526311397,29.22,30.21,0.8467,0.8467
158,2055,0.0247993750125169,31.91,33.83,0.8805,0.8989,0.026953724399209,29.02,30.21,0.8464,0.8467
159,2068,0.0243992158025503,31.99,33.83,0.8722,0.8989,0.0234210480004549,29.84,30.21,0.8441,0.8467
160,2081,0.0273944781720638,30.91,33.83,0.8622,0.8989,0.0259392477571964,29.74,30.21,0.845,0.8467
161,2094,0.0267089958488941,31.27,33.83,0.8585,0.8989,0.0244760777801275,30.02,30.21,0.8457,0.8467
162,2107,0.0250709592550992,31.45,33.83,0.8765,0.8989,0.0306471660733222,30.2,30.21,0.8459,0.8467
163,2120,0.0269092144072055,31.23,33.83,0.8693,0.8989,0.024863151833415,29.79,30.21,0.846,0.8467
164,2133,0.0289249614626169,30.2,33.83,0.8383,0.8989,0.0234736232087016,30.11,30.21,0.8459,0.8467
165,2146,0.028367251753807,30.99,33.83,0.8511,0.8989,0.0378610234707593,28.4,30.21,0.8428,0.8467
166,2159,0.0298177698254585,29.84,33.83,0.846,0.8989,0.023763783276081,29.37,30.21,0.846,0.8467
167,2172,0.0249887014925479,31.77,33.83,0.8838,0.8989,0.0250483762472867,29.62,30.21,0.8432,0.8467
168,2185,0.0262826368957757,30.96,33.83,0.8646,0.8989,0.0230514112859964,30.11,30.21,0.8462,0.8467
169,2198,0.0246521363407373,31.67,33.83,0.8634,0.8989,0.0238310974091291,29.53,30.21,0.8448,0.8467
170,2211,0.0285797899216413,30.08,33.83,0.8398,0.8989,0.0245347492396831,29.33,30.21,0.8454,0.8467
171,2224,0.0259835363179445,31.84,33.83,0.8735,0.8989,0.0310769360512495,27.59,30.21,0.8455,0.8467
172,2237,0.0255955030024051,31.15,33.83,0.8667,0.8989,0.0248454708606004,29.21,30.21,0.8451,0.8467
173,2250,0.0284108889102935,30.42,33.83,0.8452,0.8989,0.0253792008385062,29.97,30.21,0.8458,0.8467
174,2263,0.0307725338637828,29.78,33.83,0.8431,0.8989,0.0248293433338403,29.24,30.21,0.8462,0.8467
175,2276,0.0298746512830257,29.64,33.83,0.8366,0.8989,0.0251099985092878,29.08,30.21,0.8448,0.8467
176,2289,0.0243437480926513,31.51,33.83,0.8886,0.8989,0.0249455604702234,29.22,30.21,0.8462,0.8467
177,2302,0.0287240451574325,30.08,33.83,0.8389,0.8989,0.0327479310333728,27.7,30.21,0.844,0.8467
178,2315,0.0274220305681228,30.44,33.83,0.8653,0.8989,0.0273595008999109,29.01,30.21,0.8432,0.8467
179,2328,0.0265907768160104,30.86,33.83,0.8588,0.8989,0.0225754581391811,30.03,30.21,0.8465,0.8467
180,2341,0.027777687087655,30.74,33.83,0.8613,0.8989,0.024153059348464,30.11,30.21,0.8467,0.8467
181,2354,0.0290262845158576,30.53,33.83,0.8502,0.8989,0.02622782420367,29.32,30.21,0.8472,0.8472
182,2367,0.0266167283803224,30.96,33.83,0.8602,0.8989,0.0238604173064231,30.13,30.21,0.8465,0.8472
183,2380,0.028120901659131,30.38,33.83,0.8353,0.8989,0.0235696587711572,29.83,30.21,0.847,0.8472
184,2393,0.0246804296225309,31.56,33.83,0.8643,0.8989,0.0239570261910557,29.81,30.21,0.847,0.8472
185,2406,0.0280430725216865,30.51,33.83,0.8473,0.8989,0.0275418184697628,29.1,30.21,0.847,0.8472
186,2419,0.024775208979845,32.14,33.83,0.8805,0.8989,0.0250285677611827,29.11,30.21,0.8459,0.8472
187,2432,0.0253920481353998,31.54,33.83,0.8744,0.8989,0.0243387676775455,29.97,30.21,0.8465,0.8472
188,2445,0.0269806189090013,30.91,33.83,0.8471,0.8989,0.0277562711387872,28.83,30.21,0.8454,0.8472
189,2458,0.0259010701626539,31.23,33.83,0.8593,0.8989,0.022788849659264,30.12,30.21,0.847,0.8472
190,2471,0.0250749207288026,31.17,33.83,0.8646,0.8989,0.0245031055063009,29.16,30.21,0.8471,0.8472
191,2484,0.0275570109486579,30.15,33.83,0.8521,0.8989,0.039431669190526,26.78,30.21,0.8428,0.8472
192,2497,0.0262801330536603,31.12,33.83,0.8694,0.8989,0.0278708763420581,28.48,30.21,0.8458,0.8472
193,2510,0.0253660192340612,31.75,33.83,0.8767,0.8989,0.0255048412829637,28.88,30.21,0.8462,0.8472
194,2523,0.0271369113773107,31.34,33.83,0.8575,0.8989,0.0215428192168474,30.12,30.21,0.8469,0.8472
195,2536,0.0277748737484216,30.96,33.83,0.8486,0.8989,0.0249026879668235,29.47,30.21,0.8475,0.8475
196,2549,0.0254580245167016,30.82,33.83,0.8556,0.8989,0.0279272377490997,28.48,30.21,0.847,0.8475
197,2562,0.0349784055352211,28.36,33.83,0.8291,0.8989,0.0337585154920816,27.41,30.21,0.8449,0.8475
198,2575,0.025304659307003,32.19,33.83,0.9034,0.9034,0.0328221071511507,27.15,30.21,0.8442,0.8475
199,2588,0.0267013373225927,30.84,33.83,0.8716,0.9034,0.0260606259107589,28.8,30.21,0.8459,0.8475
200,2601,0.0303950925916433,29.38,33.83,0.8306,0.9034,0.0252978820353746,28.94,30.21,0.8451,0.8475
201,2614,0.0287527973949909,30.19,33.83,0.8435,0.9034,0.0275914303958416,29.26,30.21,0.8467,0.8475
202,2627,0.0279380781203508,30.17,33.83,0.8515,0.9034,0.0249864943325519,29.57,30.21,0.8458,0.8475
203,2640,0.0289309342950582,29.91,33.83,0.8491,0.9034,0.0333277534693479,27.09,30.21,0.8461,0.8475
204,2653,0.0298849587887525,29.52,33.83,0.8385,0.9034,0.0252302043139934,29.49,30.21,0.8437,0.8475
205,2666,0.0272152887284755,31.16,33.83,0.8701,0.9034,0.0291638180613517,28.38,30.21,0.8431,0.8475
206,2679,0.0293670409917831,29.87,33.83,0.8428,0.9034,0.0228100720793008,30.04,30.21,0.8462,0.8475
207,2692,0.0305775602161884,29.36,33.83,0.8325,0.9034,0.0222546489909291,29.99,30.21,0.8475,0.8475
208,2705,0.026131547987461,31.76,33.83,0.8756,0.9034,0.0226603863760829,30.01,30.21,0.8474,0.8475
209,2718,0.0244480882585048,31.55,33.83,0.8632,0.9034,0.0213107593357563,30.26,30.26,0.8463,0.8475
210,2731,0.0254373741149902,31.41,33.83,0.8638,0.9034,0.0228409547358751,29.95,30.26,0.8477,0.8477
